normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.0387275, 0.0395717, 0.0354295, 0.0389518, 0.049777, 0.0381319, 0.0369539, 0.0343061, 0.040434, 0.048873, 0.0318898, 0.0302031, 0.028084, 0.0399655, 0.0499632
0.0380765, 0.038776, 0.0350122, 0.0395964, 0.0486918, 0.037848, 0.0363318, 0.0336289, 0.0399375, 0.0492284, 0.0317533, 0.0297477, 0.0287278, 0.0397691, 0.0501832
0.0392661, 0.0390982, 0.0349887, 0.0390066, 0.0486357, 0.0372318, 0.0365486, 0.0334193, 0.0390207, 0.0485192, 0.0316295, 0.0301261, 0.0285141, 0.0387348, 0.0490576
0.0384813, 0.0387053, 0.0358567, 0.0388957, 0.049442, 0.0377188, 0.0364296, 0.0343615, 0.038941, 0.0492516, 0.0326811, 0.0299362, 0.0286406, 0.0406633, 0.0505696
0.038332, 0.0390976, 0.0353857, 0.0401766, 0.0492424, 0.0374379, 0.0365956, 0.0346877, 0.0397516, 0.0514481, 0.0322433, 0.0304542, 0.0290566, 0.0403994, 0.0498793
0.038789, 0.0385, 0.036602, 0.0395934, 0.0506731, 0.0378791, 0.0361745, 0.0337061, 0.0401403, 0.0504287, 0.0325456, 0.0298951, 0.0286861, 0.0398688, 0.0493511
0.0386766, 0.0384343, 0.0363124, 0.0390935, 0.0483422, 0.0380005, 0.0370206, 0.0347556, 0.0410117, 0.050938, 0.0335574, 0.0297241, 0.028319, 0.0404753, 0.049944
0.0394592, 0.0375348, 0.0361063, 0.0409359, 0.0495777, 0.0367289, 0.0364801, 0.0344487, 0.0400735, 0.0489528, 0.0325384, 0.0309383, 0.0287069, 0.0393946, 0.0494244
0.0388565, 0.0388506, 0.0369551, 0.0398837, 0.0529193, 0.0395559, 0.0363462, 0.0341348, 0.0397815, 0.049235, 0.0331087, 0.0297605, 0.028955, 0.0398092, 0.0500393
0.0404511, 0.0380228, 0.0355919, 0.0405265, 0.0501554, 0.038286, 0.0363595, 0.0343513, 0.0402143, 0.0494278, 0.0326954, 0.0306812, 0.0296334, 0.0399406, 0.0506293
0.0396138, 0.0392317, 0.0361047, 0.0406597, 0.0496524, 0.0387994, 0.0369238, 0.0339402, 0.0396772, 0.0482428, 0.0319938, 0.0304191, 0.0281522, 0.0398263, 0.0499236
0.0379461, 0.0387609, 0.0356494, 0.0408853, 0.0522463, 0.0377711, 0.0369857, 0.033646, 0.0404184, 0.0493502, 0.0303398, 0.0303934, 0.0283429, 0.0394757, 0.0493412
0.0391676, 0.0393284, 0.035639, 0.0394014, 0.0495194, 0.0377063, 0.037262, 0.0335042, 0.0389192, 0.0488845, 0.0309242, 0.0304987, 0.0284008, 0.0399288, 0.0516351
0.0409792, 0.0391066, 0.0366044, 0.0400904, 0.0498473, 0.0379443, 0.0370541, 0.0342259, 0.0397715, 0.0486592, 0.0323353, 0.0297942, 0.0289134, 0.039697, 0.0486951
0.0381869, 0.0377758, 0.0353275, 0.0394516, 0.0495242, 0.0376918, 0.0367165, 0.0342367, 0.0402551, 0.0494783, 0.0320374, 0.0298602, 0.0282195, 0.0389794, 0.0502163
0.0379505, 0.0381677, 0.0353791, 0.0393261, 0.048753, 0.0378745, 0.0377995, 0.0337032, 0.0407794, 0.0492852, 0.0330097, 0.0314694, 0.0285054, 0.0395116, 0.0497968
0.038534, 0.0390191, 0.0358743, 0.0412363, 0.0488973, 0.0379179, 0.0365232, 0.0335392, 0.0421942, 0.0496421, 0.0317033, 0.0311143, 0.0295657, 0.0394744, 0.0498089
0.0386491, 0.0379134, 0.0358755, 0.0397913, 0.0491471, 0.0378275, 0.0360085, 0.0337971, 0.0397009, 0.0497362, 0.0333065, 0.0309953, 0.0299452, 0.0406265, 0.0523778
0.0397735, 0.0377696, 0.0352498, 0.0396218, 0.0496087, 0.0376294, 0.0357173, 0.0343784, 0.0397493, 0.0502343, 0.0318537, 0.0296143, 0.0287283, 0.0389646, 0.0492779
0.0383649, 0.0393129, 0.035356, 0.0399355, 0.05014, 0.0387284, 0.0357537, 0.0349565, 0.0403826, 0.0571653, 0.033857, 0.0305414, 0.0290333, 0.0404856, 0.04927
0.038914, 0.038649, 0.035765, 0.039853, 0.049739, 0.037935, 0.036599, 0.034086, 0.040058, 0.049849, 0.032300, 0.030308, 0.028757, 0.039800 ,0.049969
