normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.0653444, 0.0611291, 0.055879, 0.0211269, 0.0558856, 0.0545025, 0.0545293, 0.0247236, 0.0344463, 0.0620928, 0.0312495, 0.0345349, 0.0305633, 0.0645232, 0.0611352, 0.0538403, 0.0222055, 0.0559598, 0.051231, 0.0535131, 0.0683377, 0.0860073, 0.0693331, 0.0634403, 0.0569516, 0.0711445, 0.0543441, 0.0477743, 0.0511126, 0.0213012, 0.049232, 0.0462392, 0.0504726, 0.0382303, 0.0419809, 0.0621746, 0.0334546, 0.0341373, 0.0412297
0.064206, 0.0602134, 0.0530938, 0.0206882, 0.0556653, 0.0513786, 0.054982, 0.0238476, 0.0343143, 0.0579325, 0.0316889, 0.0335773, 0.0313045, 0.063598, 0.0585763, 0.0524331, 0.0209787, 0.0557654, 0.0542219, 0.0551995, 0.0671737, 0.0889718, 0.0687192, 0.0650781, 0.0586241, 0.0662786, 0.0559036, 0.0498817, 0.0481081, 0.021266, 0.0485134, 0.0466292, 0.0480516, 0.0386712, 0.0420019, 0.0621886, 0.0335731, 0.034397, 0.0422835
0.0627817, 0.0595065, 0.0529996, 0.0208091, 0.0548504, 0.0509922, 0.0555026, 0.0241508, 0.034351, 0.0581493, 0.0299213, 0.0342585, 0.0301841, 0.0617819, 0.0599374, 0.054229, 0.0211606, 0.0581957, 0.0517405, 0.0534058, 0.0698732, 0.0843846, 0.0670645, 0.0626823, 0.0594749, 0.0687805, 0.056367, 0.0496241, 0.0484517, 0.0211394, 0.0493008, 0.0478466, 0.0489004, 0.0377851, 0.042434, 0.0618861, 0.0336109, 0.0351643, 0.0399146
0.0607515, 0.0619086, 0.0539524, 0.0209697, 0.055116, 0.0510504, 0.0571613, 0.0238663, 0.0339382, 0.0578182, 0.0298564, 0.0339272, 0.0327782, 0.0616958, 0.0574822, 0.0552884, 0.0217383, 0.0571167, 0.0508672, 0.0547494, 0.0688016, 0.0885489, 0.0659456, 0.0617402, 0.0618346, 0.070364, 0.0567711, 0.0496565, 0.048143, 0.0228575, 0.0496855, 0.0472447, 0.0490038, 0.0386769, 0.0417072, 0.0629066, 0.0333484, 0.0335315, 0.0398754
0.0614617, 0.0584172, 0.0559002, 0.0212441, 0.0560996, 0.0513435, 0.056207, 0.0249116, 0.0340528, 0.0589913, 0.0299316, 0.0365946, 0.0309029, 0.0639473, 0.0595365, 0.0524149, 0.0206832, 0.0556367, 0.0520516, 0.0535309, 0.071195, 0.0861996, 0.0665931, 0.0615129, 0.0568263, 0.0686467, 0.0566142, 0.049636, 0.0479904, 0.0208678, 0.0482056, 0.0453105, 0.0485097, 0.0374426, 0.0435086, 0.0637086, 0.0335858, 0.0361575, 0.0401876
0.0607626, 0.0578798, 0.0528681, 0.0205026, 0.0546543, 0.0530534, 0.0547598, 0.0242153, 0.0337268, 0.0627541, 0.0307909, 0.0342132, 0.0299827, 0.0637336, 0.0564974, 0.0543533, 0.0217091, 0.0564475, 0.0506751, 0.0532582, 0.0670474, 0.0839248, 0.0683634, 0.0633374, 0.0588848, 0.0658749, 0.0574826, 0.0487973, 0.0468682, 0.0207375, 0.0481574, 0.0470522, 0.0476214, 0.0381298, 0.0411647, 0.0618869, 0.034886, 0.0343507, 0.0422589
0.0625395, 0.0583674, 0.0527373, 0.0206232, 0.0548727, 0.0520381, 0.0548662, 0.0248839, 0.0366858, 0.0605643, 0.0301072, 0.0341039, 0.0310312, 0.0641708, 0.0608052, 0.0538109, 0.0226283, 0.0577123, 0.0541311, 0.0539848, 0.0693069, 0.0845538, 0.0654255, 0.0621764, 0.0591539, 0.0674332, 0.0577357, 0.0496848, 0.0489994, 0.0211017, 0.048809, 0.0471031, 0.0481987, 0.0380963, 0.0422865, 0.068121, 0.0347417, 0.0345308, 0.0405143
0.0653897, 0.0606397, 0.0536086, 0.0208101, 0.0590235, 0.0548938, 0.0569811, 0.0254092, 0.0346725, 0.0589737, 0.029837, 0.0357519, 0.0307483, 0.0652031, 0.0595857, 0.0557434, 0.021631, 0.057169, 0.0524529, 0.0539532, 0.0678531, 0.086226, 0.0661028, 0.0622681, 0.0579173, 0.0667462, 0.0569447, 0.0497615, 0.0504623, 0.0216958, 0.0504092, 0.0462673, 0.0480229, 0.0409463, 0.0432933, 0.0636278, 0.0339038, 0.0359375, 0.0408865
0.0615562, 0.0586987, 0.0575021, 0.0241886, 0.0571168, 0.0532904, 0.0545788, 0.0241413, 0.0348736, 0.0616722, 0.0313191, 0.0365274, 0.0327598, 0.0635747, 0.0584697, 0.0527486, 0.0210044, 0.0559727, 0.0529423, 0.0555804, 0.0703959, 0.0864168, 0.0658742, 0.06177, 0.059106, 0.0678323, 0.057487, 0.050011, 0.0491608, 0.023232, 0.0510311, 0.0462603, 0.0482327, 0.0399205, 0.042995, 0.0667335, 0.0345556, 0.0351846, 0.0405652
0.0616165, 0.062742, 0.0545472, 0.0207484, 0.0576557, 0.053199, 0.0551005, 0.0253879, 0.0355979, 0.0603058, 0.0302881, 0.0349061, 0.0302894, 0.0621381, 0.0577096, 0.0530359, 0.0210185, 0.0558864, 0.0512907, 0.0538155, 0.0678359, 0.0880521, 0.067853, 0.0629681, 0.0573799, 0.0700396, 0.057803, 0.0502349, 0.0497995, 0.0214706, 0.0489576, 0.0462185, 0.0503109, 0.0387858, 0.0444465, 0.0662999, 0.0353526, 0.0346059, 0.0408925
