normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.031463, 0.032763, 0.029544, 0.03012, 0.041241, 0.041788, 0.038487, 0.029743, 0.028954, 0.055244, 0.029194, 0.016258, 0.023267, 0.019772, 0.024797, 0.024201, 0.023126, 0.024138, 0.029841, 0.032572, 0.029751
0.031696, 0.032868, 0.03087, 0.030355, 0.041964, 0.042533, 0.038471, 0.029696, 0.028936, 0.029253, 0.029165, 0.016264, 0.023443, 0.019775, 0.024864, 0.024204, 0.023127, 0.024078, 0.029036, 0.033081, 0.029508
0.031998, 0.033283, 0.030649, 0.030218, 0.041721, 0.041806, 0.038364, 0.029723, 0.028985, 0.029261, 0.029241, 0.016259, 0.023345, 0.020407, 0.024762, 0.024242, 0.023163, 0.024109, 0.029515, 0.033018, 0.03009
0.031892, 0.033252, 0.02981, 0.030819, 0.041152, 0.041906, 0.038548, 0.030039, 0.029003, 0.029251, 0.029204, 0.016287, 0.023349, 0.02007, 0.024761, 0.024251, 0.023143, 0.024093, 0.02874, 0.032859, 0.03012
0.032166, 0.033707, 0.030279, 0.030287, 0.041112, 0.041821, 0.038461, 0.029728, 0.028997, 0.02926, 0.029192, 0.016281, 0.023468, 0.020411, 0.024806, 0.024197, 0.02312, 0.0241, 0.029649, 0.032694, 0.030317
0.03244, 0.033735, 0.03036, 0.030251, 0.041126, 0.041887, 0.038573, 0.029738, 0.028981, 0.029291, 0.029152, 0.016308, 0.023368, 0.020074, 0.024761, 0.024232, 0.023158, 0.024037, 0.029437, 0.032784, 0.029969
0.031586, 0.033747, 0.030241, 0.031352, 0.041092, 0.041839, 0.038492, 0.02974, 0.028963, 0.029244, 0.029173, 0.01626, 0.023355, 0.019772, 0.024769, 0.024228, 0.023193, 0.024135, 0.029797, 0.03268, 0.029965
0.031911, 0.033401, 0.030578, 0.030695, 0.041349, 0.042637, 0.039061, 0.029736, 0.028994, 0.029278, 0.029188, 0.016291, 0.023342, 0.020091, 0.024824, 0.024231, 0.045699, 0.02443, 0.029592, 0.033557, 0.029548
0.031789, 0.032957, 0.030564, 0.030852, 0.0413, 0.041793, 0.038524, 0.029734, 0.028995, 0.029258, 0.029206, 0.016258, 0.023405, 0.020071, 0.024761, 0.048637, 0.023351, 0.024315, 0.029217, 0.033183, 0.029571
0.032479, 0.033828, 0.03039, 0.030428, 0.041259, 0.042021, 0.038446, 0.029817, 0.029003, 0.029229, 0.029209, 0.016257, 0.023354, 0.019829, 0.024774, 0.024221, 0.02316, 0.024079, 0.028795, 0.032819, 0.030122
0.032519, 0.03346, 0.030609, 0.030847, 0.041198, 0.041917, 0.038513, 0.029745, 0.029038, 0.029251, 0.029187, 0.016262, 0.023334, 0.020407, 0.024775, 0.024211, 0.023138, 0.024074, 0.029504, 0.032979, 0.029638
