normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_boost, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_boost, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_boost
0.097344, 0.098353, 0.090945, 0.020378, 0.092683, 0.093579, 0.089127, 0.02339, 0.090123, 0.078708, 0.090601, 0.021551
0.092202, 0.094634, 0.091199, 0.01952, 0.091665, 0.091474, 0.089997, 0.023119, 0.090426, 0.078958, 0.088543, 0.021482
0.091074, 0.094528, 0.090281, 0.019204, 0.090783, 0.092347, 0.08948, 0.023662, 0.090972, 0.079027, 0.088704, 0.02149
0.092573, 0.097606, 0.094446, 0.019974, 0.092218, 0.111949, 0.092432, 0.024213, 0.093819, 0.07926, 0.090775, 0.021919
0.092295, 0.094947, 0.092879, 0.019454, 0.090064, 0.092434, 0.090984, 0.023531, 0.091051, 0.078416, 0.105765, 0.02186
0.093497, 0.096123, 0.094453, 0.019332, 0.091017, 0.09246, 0.094593, 0.024062, 0.092504, 0.079017, 0.088537, 0.021629
0.092687, 0.095631, 0.093322, 0.019722, 0.091011, 0.092663, 0.091296, 0.023705, 0.091769, 0.078851, 0.089192, 0.022072
0.093741, 0.096426, 0.096781, 0.019277, 0.090236, 0.09187, 0.090148, 0.023841, 0.092374, 0.079536, 0.094054, 0.02182
0.094734, 0.094851, 0.092639, 0.01925, 0.090021, 0.092186, 0.090563, 0.023702, 0.092489, 0.079663, 0.089745, 0.021979
0.095152, 0.096227, 0.091191, 0.019169, 0.089755, 0.092596, 0.089385, 0.023768, 0.09159, 0.079039, 0.090992, 0.022007
0.093769, 0.095551, 0.109804, 0.019233, 0.090002, 0.092648, 0.09039, 0.024257, 0.091864, 0.079563, 0.090011, 0.021969
0.094551, 0.097207, 0.09123, 0.01916, 0.090375, 0.092833, 0.089554, 0.023943, 0.091522, 0.079939, 0.091648, 0.02206
0.093925, 0.095856, 0.093159, 0.019114, 0.090677, 0.092591, 0.093359, 0.024013, 0.092607, 0.079391, 0.090019, 0.021876
0.094854, 0.095473, 0.090293, 0.019227, 0.090554, 0.09243, 0.090277, 0.023604, 0.091294, 0.07905, 0.092243, 0.021703
0.0932, 0.095666, 0.09132, 0.019177, 0.090325, 0.09213, 0.089347, 0.023739, 0.090907, 0.079019, 0.08995, 0.021932
0.094795, 0.095687, 0.090314, 0.019254, 0.090205, 0.092766, 0.090357, 0.023799, 0.09209, 0.079971, 0.090171, 0.02201
0.094299, 0.097027, 0.091364, 0.019324, 0.090675, 0.092012, 0.090429, 0.023674, 0.091403, 0.079521, 0.093833, 0.022792
0.097337, 0.094811, 0.091011, 0.019284, 0.090218, 0.09244, 0.089814, 0.023789, 0.091695, 0.079845, 0.089714, 0.021854
0.094368, 0.095034, 0.090308, 0.019109, 0.090948, 0.093156, 0.089422, 0.023568, 0.092185, 0.078958, 0.092257, 0.021728
0.096035, 0.096691, 0.092135, 0.019237, 0.09001, 0.092121, 0.091462, 0.023647, 0.091384, 0.079783, 0.091124, 0.022177
0.094087, 0.096294, 0.092295, 0.01914, 0.090165, 0.092586, 0.090513, 0.023664, 0.091768, 0.079057, 0.089892, 0.022148
0.09566, 0.103663, 0.090335, 0.01899, 0.090242, 0.091896, 0.089336, 0.023977, 0.091982, 0.079487, 0.089497, 0.022502
0.096408, 0.096128, 0.090407, 0.019317, 0.090355, 0.093957, 0.089285, 0.024438, 0.091804, 0.079484, 0.089667, 0.022069
0.094867, 0.096626, 0.09025, 0.019224, 0.090674, 0.092628, 0.0893, 0.024098, 0.091951, 0.079325, 0.092664, 0.038935
0.095331, 0.095552, 0.093287, 0.019275, 0.090007, 0.092354, 0.091278, 0.023995, 0.092235, 0.078798, 0.089379, 0.021846
0.093728, 0.096224, 0.090313, 0.019162, 0.09021, 0.092465, 0.089268, 0.023982, 0.092743, 0.079206, 0.091533, 0.021856
0.093831, 0.096618, 0.092014, 0.019293, 0.090197, 0.09248, 0.089977, 0.023954, 0.092469, 0.079644, 0.091362, 0.021901
0.093884, 0.09613, 0.095019, 0.019405, 0.106206, 0.109964, 0.090698, 0.023887, 0.091989, 0.079803, 0.090225, 0.021881
0.094408, 0.096206, 0.092149, 0.01935, 0.090538, 0.092057, 0.090299, 0.023651, 0.091995, 0.079326, 0.089398, 0.021949
0.093243, 0.095148, 0.092133, 0.019184, 0.090217, 0.092815, 0.089906, 0.023613, 0.09269, 0.080158, 0.090354, 0.021863
0.094991, 0.096072, 0.108486, 0.019196, 0.089658, 0.092578, 0.091279, 0.023725, 0.092204, 0.079732, 0.092624, 0.022127
0.094961, 0.095624, 0.090354, 0.019254, 0.090678, 0.110494, 0.090598, 0.023923, 0.091688, 0.079731, 0.092929, 0.022467
0.116151, 0.095994, 0.091126, 0.019257, 0.08979, 0.092222, 0.089703, 0.024597, 0.092017, 0.079461, 0.093194, 0.022627
0.094458, 0.095591, 0.090333, 0.019252, 0.089667, 0.093166, 0.089358, 0.023635, 0.091546, 0.079903, 0.089976, 0.022108
0.093457, 0.095874, 0.090423, 0.019171, 0.090212, 0.092588, 0.091398, 0.023516, 0.096838, 0.079204, 0.091529, 0.021736
0.093989, 0.095309, 0.090284, 0.019121, 0.090161, 0.092886, 0.091172, 0.023893, 0.092119, 0.079536, 0.08979, 0.022269
0.095423, 0.095986, 0.092824, 0.019266, 0.090207, 0.092434, 0.090447, 0.024245, 0.092577, 0.07949, 0.089906, 0.022096
0.09377, 0.095942, 0.092415, 0.019283, 0.090222, 0.092556, 0.091114, 0.023899, 0.09186, 0.079221, 0.091261, 0.021946
