normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_static_weightsum, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_static_weightsum, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_static_weightsum
0.075763, 0.072188, 0.068764, 0.049131, 0.068756, 0.063745, 0.065919, 0.080427, 0.072004, 0.07009, 0.068847, 0.049024, 0.068734, 0.06367, 0.067866, 0.078762, 0.067391, 0.056542, 0.064312, 0.048982, 0.063464, 0.060199, 0.060564, 0.064845
0.073562, 0.072266, 0.068751, 0.049483, 0.068731, 0.063827, 0.065943, 0.080466, 0.071899, 0.070003, 0.06881, 0.049556, 0.066454, 0.063686, 0.067831, 0.078664, 0.067439, 0.05658, 0.06439, 0.048717, 0.06339, 0.060165, 0.060579, 0.064899
0.07354, 0.072273, 0.068726, 0.048983, 0.068765, 0.06376, 0.066043, 0.080547, 0.071845, 0.069968, 0.068849, 0.048537, 0.066438, 0.063724, 0.067835, 0.07877, 0.067366, 0.056559, 0.064309, 0.048969, 0.063454, 0.060344, 0.060586, 0.064915
0.073457, 0.072092, 0.06875, 0.04857, 0.068748, 0.063789, 0.065945, 0.080522, 0.071987, 0.070099, 0.068838, 0.049027, 0.066457, 0.063769, 0.067814, 0.078731, 0.067199, 0.056578, 0.064317, 0.048981, 0.063521, 0.060207, 0.060604, 0.064804
0.073552, 0.072026, 0.068773, 0.048604, 0.068737, 0.06372, 0.065954, 0.080518, 0.071897, 0.070068, 0.06885, 0.049019, 0.06654, 0.06369, 0.067867, 0.078736, 0.067338, 0.056564, 0.064347, 0.048615, 0.063503, 0.060159, 0.060555, 0.064873
0.073535, 0.071957, 0.068708, 0.048564, 0.068773, 0.063778, 0.065935, 0.08056, 0.071873, 0.070412, 0.068826, 0.068848, 0.066452, 0.063697, 0.067806, 0.07875, 0.067199, 0.05656, 0.064355, 0.04897, 0.063487, 0.060247, 0.060616, 0.064977
0.073492, 0.072191, 0.068731, 0.048605, 0.068714, 0.063801, 0.065948, 0.080517, 0.071872, 0.07031, 0.068977, 0.048996, 0.066536, 0.063664, 0.067839, 0.080513, 0.067261, 0.056577, 0.064367, 0.048584, 0.063464, 0.060144, 0.060582, 0.064857
0.073511, 0.072158, 0.068755, 0.049014, 0.068752, 0.063768, 0.065964, 0.080422, 0.07189, 0.07037, 0.068844, 0.048479, 0.066446, 0.063719, 0.067827, 0.078659, 0.067466, 0.056686, 0.064334, 0.04899, 0.063435, 0.060208, 0.060576, 0.064887
0.073474, 0.072257, 0.068729, 0.049047, 0.068746, 0.06373, 0.067782, 0.080521, 0.072, 0.070405, 0.06883, 0.048554, 0.066494, 0.063609, 0.067823, 0.078757, 0.067456, 0.056552, 0.064374, 0.048614, 0.063439, 0.060201, 0.060615, 0.064916
0.073503, 0.074258, 0.068749, 0.049471, 0.068743, 0.063772, 0.065945, 0.080496, 0.071919, 0.070487, 0.068831, 0.048647, 0.066491, 0.063717, 0.067869, 0.078676, 0.067264, 0.056544, 0.064362, 0.049505, 0.063462, 0.060243, 0.060554, 0.064808
