normal_static_wrs, normal_static_discrete, normal_changing_wrs, uniform_static_wrs, uniform_static_discrete, uniform_changing_wrs, weibull_static_wrs, weibull_static_discrete, weibull_changing_wrs
0.117, 0.152378, 0.156045, 0.116639, 0.157848, 0.136835, 0.119653, 0.153538, 0.140309
0.12011, 0.159815, 0.176572, 0.135541, 0.159608, 0.139627, 0.121272, 0.151151, 0.161444
0.129312, 0.152241, 0.153967, 0.117201, 0.154392, 0.127793, 0.132791, 0.161925, 0.151833
0.131043, 0.156998, 0.162418, 0.124064, 0.154546, 0.157662, 0.119529, 0.156699, 0.143661
0.117422, 0.149664, 0.14499, 0.112912, 0.150527, 0.121825, 0.116007, 0.144278, 0.140958
0.113505, 0.153386, 0.151856, 0.116553, 0.148137, 0.12734, 0.11283, 0.150807, 0.131426
0.112623, 0.15489, 0.147345, 0.114413, 0.147524, 0.123797, 0.111167, 0.149739, 0.133226
0.118081, 0.145566, 0.148975, 0.11327, 0.147278, 0.133352, 0.115565, 0.152046, 0.131521
0.111776, 0.153399, 0.143417, 0.112907, 0.141754, 0.124061, 0.114944, 0.148008, 0.125989
0.112749, 0.156155, 0.137631, 0.109874, 0.146641, 0.126519, 0.110945, 0.146805, 0.129107
0.115762, 0.148781, 0.139702, 0.116278, 0.147685, 0.127038, 0.109956, 0.150658, 0.127508
0.130855, 0.153141, 0.141233, 0.112429, 0.146693, 0.126262, 0.108761, 0.148875, 0.130191
0.113711, 0.14912, 0.138261, 0.114463, 0.145142, 0.121505, 0.110125, 0.145662, 0.130717
0.11157, 0.149919, 0.136325, 0.115395, 0.141439, 0.120643, 0.109328, 0.144792, 0.130038
0.110893, 0.14443, 0.136341, 0.114172, 0.143769, 0.121638, 0.114203, 0.149572, 0.131294
0.111667, 0.148437, 0.139851, 0.113299, 0.144855, 0.12313, 0.108884, 0.152723, 0.131712
0.110013, 0.147105, 0.138551, 0.116949, 0.147806, 0.123356, 0.108259, 0.150696, 0.131341
0.11123, 0.14837, 0.140812, 0.11233, 0.146389, 0.122101, 0.109943, 0.151081, 0.133998
0.11301, 0.153215, 0.140081, 0.112116, 0.145787, 0.130066, 0.111587, 0.154342, 0.125275
0.115591, 0.155229, 0.136499, 0.109738, 0.142778, 0.122021, 0.109964, 0.149515, 0.131394
0.116396, 0.151612, 0.145544, 0.115527, 0.148030, 0.127829, 0.113786, 0.150646, 0.134647
