normal_static_leafsum, normal_static_leafsum_split, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_leafsum_split, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_leafsum_split, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_leafsum_split, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_leafsum_split, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_leafsum_split, weibull_changing_sideways_fenwick
0.132875, 0.120397, 0.12045, 0.364798, 0.346176, 0.405628, 0.132191, 0.120835, 0.121126, 0.183278, 0.185567, 0.203682, 0.129105, 0.118649, 0.131727, 0.342508, 0.33842, 0.389423
0.154473, 0.12593, 0.120409, 0.492828, 0.521661, 0.404392, 0.132238, 0.121386, 0.120495, 0.18514, 0.186214, 0.202938, 0.128234, 0.118733, 0.119783, 0.34466, 0.337424, 0.389873
0.152053, 0.127681, 0.120548, 0.502833, 0.518508, 0.40326, 0.132394, 0.12026, 0.121137, 0.185116, 0.18607, 0.202734, 0.127746, 0.119642, 0.120826, 0.342839, 0.336628, 0.389349
0.152786, 0.129066, 0.120381, 0.482045, 0.5106, 0.40503, 0.132051, 0.120088, 0.121365, 0.185851, 0.185415, 0.202013, 0.129478, 0.11936, 0.121122, 0.343056, 0.339756, 0.389162
0.150778, 0.125741, 0.121292, 0.502559, 0.523423, 0.411463, 0.132383, 0.119917, 0.125351, 0.225186, 0.185875, 0.213001, 0.131261, 0.119039, 0.119799, 0.449314, 0.407317, 0.413214
0.157014, 0.12754, 0.119754, 0.512303, 0.591118, 0.411483, 0.133521, 0.14307, 0.123523, 0.214959, 0.311372, 0.238324, 0.149515, 0.137193, 0.136321, 0.573402, 0.446112, 0.420671
0.148569, 0.133109, 0.139044, 0.560196, 0.378434, 0.404417, 0.13304, 0.11992, 0.120723, 0.185861, 0.185459, 0.202192, 0.128668, 0.119131, 0.120463, 0.34255, 0.336663, 0.389207
0.161082, 0.119946, 0.120867, 0.355116, 0.352525, 0.404912, 0.131733, 0.120726, 0.120357, 0.185753, 0.184531, 0.202534, 0.129596, 0.119045, 0.121127, 0.345728, 0.335849, 0.388562
0.138959, 0.120393, 0.121002, 0.355975, 0.351313, 0.404492, 0.131673, 0.121025, 0.120409, 0.188073, 0.184468, 0.202685, 0.129717, 0.118491, 0.121047, 0.34929, 0.335706, 0.388723
0.139019, 0.119897, 0.120917, 0.372546, 0.352937, 0.405159, 0.13273, 0.120764, 0.121178, 0.185322, 0.186114, 0.20308, 0.128138, 0.120352, 0.120499, 0.349173, 0.334983, 0.389553
0.137861, 0.120307, 0.120728, 0.360712, 0.346673, 0.40418, 0.131337, 0.120869, 0.121106, 0.188205, 0.186724, 0.202522, 0.127907, 0.118634, 0.121184, 0.342181, 0.343179, 0.387998
0.138839, 0.120641, 0.12054, 0.355789, 0.353913, 0.403627, 0.132526, 0.119997, 0.120371, 0.185766, 0.215856, 0.208094, 0.129657, 0.118805, 0.121555, 0.3433, 0.338227, 0.389294
0.138043, 0.120117, 0.120424, 0.358942, 0.346736, 0.403989, 0.132172, 0.119047, 0.120385, 0.18498, 0.185913, 0.204483, 0.12904, 0.118479, 0.121585, 0.340159, 0.335034, 0.387973
0.139703, 0.119685, 0.121262, 0.355963, 0.346436, 0.409535, 0.13343, 0.120249, 0.12066, 0.186864, 0.184198, 0.203096, 0.128893, 0.119923, 0.120976, 0.342673, 0.34298, 0.388677
0.143978, 0.120296, 0.121257, 0.357261, 0.352428, 0.404375, 0.133082, 0.120591, 0.120346, 0.188131, 0.184868, 0.203479, 0.128866, 0.119725, 0.120727, 0.345806, 0.336895, 0.388369
0.139301, 0.120134, 0.119839, 0.355524, 0.344402, 0.402535, 0.131009, 0.118886, 0.120812, 0.185504, 0.184966, 0.20193, 0.129013, 0.118066, 0.120528, 0.344239, 0.342985, 0.390329
0.137353, 0.121861, 0.120051, 0.359985, 0.351174, 0.404441, 0.131809, 0.121035, 0.119895, 0.1993, 0.183778, 0.203232, 0.128121, 0.119561, 0.120406, 0.345567, 0.35177, 0.389357
0.13781, 0.11954, 0.121468, 0.357914, 0.353127, 0.404059, 0.132641, 0.120187, 0.120347, 0.187394, 0.185701, 0.202623, 0.128945, 0.120124, 0.119783, 0.347818, 0.341018, 0.388734
0.139061, 0.119326, 0.121103, 0.360011, 0.34643, 0.410917, 0.13281, 0.120193, 0.120388, 0.185517, 0.183585, 0.203319, 0.129279, 0.11949, 0.119794, 0.346591, 0.338232, 0.389136
0.139561, 0.119744, 0.120584, 0.352875, 0.346048, 0.404213, 0.130904, 0.119205, 0.120011, 0.185853, 0.186923, 0.202078, 0.128351, 0.119248, 0.120613, 0.34136, 0.340461, 0.38819
0.138236, 0.122183, 0.12124, 0.360533, 0.352164, 0.404272, 0.132645, 0.120691, 0.131303, 0.189232, 0.184379, 0.203286, 0.128823, 0.119932, 0.119765, 0.346681, 0.338786, 0.389457
0.139423, 0.120425, 0.121065, 0.35682, 0.34892, 0.40433, 0.130538, 0.120135, 0.12003, 0.188068, 0.185294, 0.20244, 0.128121, 0.118963, 0.120089, 0.341241, 0.333592, 0.388928
0.139156, 0.120299, 0.12032, 0.351415, 0.349273, 0.404368, 0.130503, 0.119912, 0.119966, 0.187567, 0.184598, 0.202474, 0.129335, 0.119564, 0.120269, 0.344469, 0.343711, 0.388654
0.139496, 0.119767, 0.120504, 0.35358, 0.347774, 0.404219, 0.132994, 0.119458, 0.121014, 0.18765, 0.183182, 0.203361, 0.12973, 0.119435, 0.12062, 0.337676, 0.337148, 0.388186
0.138236, 0.119199, 0.121307, 0.353325, 0.351274, 0.404726, 0.133035, 0.120592, 0.121567, 0.183004, 0.186456, 0.201873, 0.127604, 0.120194, 0.120438, 0.337615, 0.335867, 0.400112
0.13778, 0.11948, 0.12135, 0.353167, 0.344862, 0.403743, 0.131554, 0.119441, 0.12137, 0.191766, 0.183676, 0.202812, 0.127855, 0.118556, 0.119784, 0.34825, 0.333397, 0.389388
0.138208, 0.119931, 0.120497, 0.362415, 0.347681, 0.401983, 0.132993, 0.11905, 0.12127, 0.185941, 0.182877, 0.203308, 0.128973, 0.134502, 0.120359, 0.346564, 0.336502, 0.389186
0.138791, 0.119676, 0.120861, 0.358795, 0.347531, 0.404344, 0.1323, 0.120905, 0.12072, 0.187569, 0.189011, 0.201919, 0.128719, 0.119854, 0.120553, 0.349732, 0.335939, 0.389444
0.13832, 0.120256, 0.119875, 0.35681, 0.345196, 0.403638, 0.131873, 0.119165, 0.120493, 0.184189, 0.187465, 0.201836, 0.130042, 0.119148, 0.12127, 0.342236, 0.338466, 0.388192
0.137959, 0.121049, 0.120566, 0.359838, 0.34675, 0.405092, 0.132523, 0.120944, 0.121202, 0.184939, 0.185776, 0.203377, 0.129904, 0.119778, 0.120878, 0.347599, 0.332421, 0.387807
0.138459, 0.121275, 0.12095, 0.354279, 0.346585, 0.403214, 0.13266, 0.119266, 0.121133, 0.186229, 0.185893, 0.203493, 0.130129, 0.120855, 0.121022, 0.33949, 0.332057, 0.389464
0.138442, 0.121484, 0.121157, 0.361366, 0.350688, 0.405761, 0.132923, 0.121022, 0.121184, 0.18709, 0.184445, 0.20345, 0.1279, 0.11815, 0.12121, 0.340519, 0.341945, 0.389191
0.139175, 0.121486, 0.121165, 0.358159, 0.35036, 0.404156, 0.133113, 0.119957, 0.120097, 0.186752, 0.190292, 0.20192, 0.130267, 0.118911, 0.121079, 0.344617, 0.330705, 0.388437
0.138754, 0.11994, 0.120473, 0.357297, 0.350931, 0.405119, 0.131748, 0.120289, 0.120623, 0.183809, 0.187613, 0.201845, 0.130357, 0.117925, 0.121109, 0.342851, 0.345391, 0.388638
0.138824, 0.119356, 0.12065, 0.357565, 0.351807, 0.404414, 0.131829, 0.119719, 0.120176, 0.189882, 0.183358, 0.203382, 0.128706, 0.120218, 0.120657, 0.349514, 0.339169, 0.389717
0.137532, 0.120479, 0.119912, 0.353373, 0.350956, 0.403928, 0.131803, 0.119605, 0.120589, 0.183807, 0.188486, 0.202615, 0.129927, 0.119154, 0.119815, 0.343313, 0.337426, 0.389136
0.138898, 0.120446, 0.120713, 0.348217, 0.350619, 0.404757, 0.131753, 0.119217, 0.120755, 0.184552, 0.184299, 0.203173, 0.129012, 0.118897, 0.119865, 0.343703, 0.338048, 0.388301
0.160829, 0.119702, 0.12091, 0.356903, 0.35392, 0.404534, 0.13261, 0.11993, 0.121101, 0.186632, 0.182944, 0.203253, 0.129129, 0.118956, 0.120018, 0.343648, 0.330495, 0.388082
0.137712, 0.121248, 0.120765, 0.358375, 0.350517, 0.404484, 0.130765, 0.12016, 0.1201, 0.18462, 0.183389, 0.203101, 0.127852, 0.119153, 0.120313, 0.342603, 0.33519, 0.388861
0.138278, 0.120496, 0.119879, 0.356437, 0.348316, 0.404921, 0.131894, 0.120309, 0.120808, 0.185185, 0.187027, 0.202379, 0.128015, 0.119929, 0.119888, 0.349544, 0.334748, 0.389465
0.137422, 0.119864, 0.12, 0.357701, 0.346968, 0.405163, 0.131799, 0.120567, 0.12054, 0.186752, 0.185578, 0.203302, 0.128988, 0.119872, 0.120663, 0.348384, 0.33351, 0.389666
0.138108, 0.119339, 0.121401, 0.360056, 0.339988, 0.404144, 0.133073, 0.120465, 0.121399, 0.185939, 0.187543, 0.20264, 0.129938, 0.118975, 0.119909, 0.349748, 0.337317, 0.389442
0.136949, 0.121235, 0.119931, 0.358836, 0.348197, 0.405087, 0.131785, 0.119352, 0.120542, 0.183941, 0.183326, 0.202028, 0.128351, 0.118721, 0.119907, 0.337296, 0.335777, 0.388211
0.137463, 0.120371, 0.119947, 0.359237, 0.350911, 0.404767, 0.132089, 0.121049, 0.120577, 0.187118, 0.185128, 0.202743, 0.129563, 0.119339, 0.121224, 0.343424, 0.332463, 0.389568
0.138697, 0.120351, 0.121114, 0.355421, 0.352185, 0.405231, 0.132759, 0.120773, 0.121139, 0.185468, 0.182617, 0.203462, 0.128774, 0.118213, 0.121138, 0.34432, 0.342065, 0.38917
0.137307, 0.120502, 0.119869, 0.355928, 0.347367, 0.40304, 0.131555, 0.119974, 0.120777, 0.186342, 0.186023, 0.203227, 0.129716, 0.11894, 0.121078, 0.344888, 0.34263, 0.388709
0.137661, 0.120474, 0.121135, 0.35201, 0.347805, 0.404865, 0.13172, 0.120874, 0.120491, 0.186867, 0.187522, 0.203102, 0.128386, 0.120283, 0.120536, 0.347877, 0.344291, 0.38853
0.139176, 0.120209, 0.121113, 0.358122, 0.347926, 0.403811, 0.133086, 0.121116, 0.121146, 0.186063, 0.184036, 0.202569, 0.128501, 0.11922, 0.119875, 0.34534, 0.340519, 0.388686
0.139462, 0.1204, 0.120532, 0.357101, 0.347435, 0.40458, 0.132164, 0.120972, 0.120373, 0.184058, 0.186863, 0.202065, 0.1288, 0.119869, 0.120459, 0.345198, 0.33527, 0.388993
0.138181, 0.120324, 0.12104, 0.354078, 0.348921, 0.404589, 0.13096, 0.121126, 0.120142, 0.188347, 0.18567, 0.202672, 0.130202, 0.118664, 0.12003, 0.349918, 0.345467, 0.390314
0.139346, 0.121156, 0.120341, 0.360987, 0.347608, 0.405184, 0.131942, 0.119433, 0.121185, 0.185244, 0.185022, 0.201969, 0.130006, 0.118346, 0.120643, 0.341266, 0.338686, 0.389279
0.138707, 0.121365, 0.120562, 0.358011, 0.345063, 0.404435, 0.130568, 0.121176, 0.120605, 0.18293, 0.188224, 0.202284, 0.127748, 0.118678, 0.120125, 0.347805, 0.346705, 0.388036
0.136951, 0.121045, 0.12015, 0.361105, 0.342697, 0.4047, 0.130364, 0.120886, 0.120865, 0.185467, 0.187891, 0.202957, 0.128714, 0.118764, 0.11993, 0.348651, 0.333685, 0.388992
0.137867, 0.120194, 0.121051, 0.352983, 0.346132, 0.405259, 0.131511, 0.119525, 0.120951, 0.184763, 0.18388, 0.203509, 0.128654, 0.119559, 0.120345, 0.347817, 0.341366, 0.389244
0.137266, 0.121041, 0.121015, 0.356421, 0.352664, 0.404547, 0.132329, 0.119768, 0.121277, 0.186871, 0.184682, 0.203363, 0.12847, 0.118588, 0.120969, 0.342712, 0.336438, 0.389424
0.138311, 0.12168, 0.121514, 0.355066, 0.347838, 0.404226, 0.131595, 0.120033, 0.13016, 0.186277, 0.184094, 0.202673, 0.127931, 0.118885, 0.119889, 0.342542, 0.335928, 0.388691
0.138805, 0.120535, 0.119796, 0.35562, 0.347538, 0.404779, 0.131426, 0.119297, 0.119981, 0.185739, 0.185047, 0.203287, 0.128752, 0.120169, 0.120809, 0.345768, 0.337234, 0.388425
0.139024, 0.120175, 0.121239, 0.357813, 0.350626, 0.404247, 0.131647, 0.120177, 0.119893, 0.1861, 0.186288, 0.202776, 0.127721, 0.119342, 0.119802, 0.349531, 0.335484, 0.388194
0.14358, 0.121576, 0.132377, 0.355494, 0.347195, 0.404978, 0.131227, 0.119944, 0.120357, 0.186237, 0.18506, 0.202083, 0.129345, 0.118307, 0.119905, 0.345664, 0.33647, 0.389001
0.138862, 0.121166, 0.120565, 0.361944, 0.347375, 0.404231, 0.131184, 0.120419, 0.120075, 0.188033, 0.185185, 0.202939, 0.128385, 0.119375, 0.119866, 0.347998, 0.338485, 0.388032
0.139303, 0.119922, 0.132139, 0.361181, 0.351234, 0.404853, 0.131413, 0.119455, 0.121451, 0.185909, 0.184399, 0.20205, 0.129824, 0.118265, 0.121256, 0.341033, 0.342801, 0.38957
0.137806, 0.121439, 0.1198, 0.360529, 0.346075, 0.402446, 0.130467, 0.11894, 0.121234, 0.184181, 0.185371, 0.202063, 0.129449, 0.118265, 0.120437, 0.347708, 0.341717, 0.388435
0.137451, 0.120388, 0.119788, 0.361472, 0.343337, 0.405215, 0.131567, 0.119371, 0.120346, 0.184309, 0.185552, 0.202325, 0.128664, 0.120221, 0.120921, 0.346229, 0.3351, 0.389513
0.139011, 0.119673, 0.120627, 0.355949, 0.348325, 0.402905, 0.131777, 0.119524, 0.120633, 0.185358, 0.18463, 0.202504, 0.128267, 0.120053, 0.119718, 0.340882, 0.561092, 0.480511
