normal_static_wrs, normal_changing_wrs, uniform_static_wrs, uniform_static_discrete, uniform_changing_wrs, weibull_static_wrs, weibull_static_discrete, weibull_changing_wrs
0.0453276, 0.0256564, 0.0379956, 0.0367037, 0.0158041, 0.0307261, 0.0299202, 0.018027
0.0450275, 0.0250455, 0.0392466, 0.0383508, 0.0180384, 0.0309977, 0.0298983, 0.0188547
0.0459012, 0.0261761, 0.0378674, 0.0371865, 0.0156434, 0.030228, 0.0289204, 0.0183569
0.0440901, 0.0257008, 0.0398505, 0.0378746, 0.0161041, 0.0311009, 0.0299552, 0.0193981
0.0451451, 0.0250043, 0.0374661, 0.037074, 0.0161171, 0.0298788, 0.0288957, 0.0181539
0.0440511, 0.0250199, 0.0402148, 0.0388333, 0.0161582, 0.0307536, 0.0295696, 0.018238
0.0457123, 0.025735, 0.0378325, 0.0372459, 0.015757, 0.0299917, 0.0294524, 0.0184252
0.0477358, 0.0259724, 0.0401624, 0.0379628, 0.0162309, 0.0311344, 0.0296014, 0.0183517
0.0471749, 0.0263676, 0.0381758, 0.0385474, 0.0159452, 0.0302686, 0.0293854, 0.0187103
0.0457307, 0.0265888, 0.0385263, 0.0383387, 0.0164202, 0.0307463, 0.0294209, 0.01792
0.0469961, 0.0263789, 0.039539, 0.0403167, 0.016525, 0.0318657, 0.0316806, 0.0209476
0.0478231, 0.027905, 0.0384939, 0.0377162, 0.0158237, 0.0300028, 0.0291069, 0.0183833
0.0463481, 0.0266975, 0.0379802, 0.0377767, 0.0181092, 0.0320078, 0.031768, 0.0188061
0.0458252, 0.0275245, 0.0378667, 0.0378937, 0.0156501, 0.0311687, 0.0301054, 0.0184995
0.0462997, 0.0269274, 0.0396089, 0.0380333, 0.0163342, 0.0311048, 0.0299145, 0.0190054
0.0454412, 0.0251755, 0.0373536, 0.0368016, 0.0156003, 0.0302319, 0.0290241, 0.0186709
0.047686, 0.0277585, 0.0400788, 0.0379562, 0.016175, 0.031463, 0.0330883, 0.0180446
0.0449255, 0.0254897, 0.0371447, 0.0371027, 0.0160458, 0.0299889, 0.0291083, 0.0185939
0.0469979, 0.0260901, 0.0384822, 0.0385418, 0.0162462, 0.0315231, 0.02899, 0.0180487
0.0444497, 0.0253052, 0.0373025, 0.0368397, 0.0157834, 0.0307492, 0.0290462, 0.0187916
0.045934, 0.026126, 0.038560, 0.037855, 0.016225, 0.030797, 0.029843, 0.018611
