normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.154825, 0.124758, 0.195302, 0.17259, 0.154755, 0.12426, 0.174133, 0.150904, 0.153632, 0.124865, 0.182593, 0.159998
0.163532, 0.123847, 0.194022, 0.171256, 0.153052, 0.124202, 0.181376, 0.150706, 0.153864, 0.124175, 0.181048, 0.159341
0.163006, 0.12565, 0.188876, 0.173404, 0.152652, 0.12477, 0.177887, 0.150318, 0.156507, 0.125455, 0.182314, 0.159423
0.164334, 0.125895, 0.190484, 0.172914, 0.152068, 0.125948, 0.178094, 0.152162, 0.154479, 0.125808, 0.180756, 0.160079
0.162367, 0.124731, 0.191687, 0.172409, 0.152154, 0.12485, 0.177248, 0.151299, 0.154947, 0.124854, 0.179836, 0.160333
0.163317, 0.12491, 0.187432, 0.172431, 0.154595, 0.125855, 0.179176, 0.150414, 0.15549, 0.125011, 0.179496, 0.160532
0.165166, 0.124686, 0.190953, 0.172521, 0.152982, 0.125034, 0.178525, 0.152261, 0.15513, 0.125375, 0.180296, 0.16015
0.163985, 0.125027, 0.192991, 0.17165, 0.15258, 0.124333, 0.179685, 0.150897, 0.153625, 0.124041, 0.181148, 0.160394
0.168337, 0.125987, 0.190903, 0.173312, 0.152933, 0.125672, 0.176371, 0.150555, 0.154022, 0.125506, 0.181137, 0.158694
0.162004, 0.126424, 0.189347, 0.173546, 0.152853, 0.124795, 0.18076, 0.150995, 0.154227, 0.124672, 0.180442, 0.159583
0.162158, 0.125067, 0.190269, 0.171854, 0.158087, 0.126047, 0.179449, 0.151222, 0.154831, 0.124922, 0.181462, 0.15919
0.162511, 0.124116, 0.191391, 0.173291, 0.151752, 0.124998, 0.178307, 0.151535, 0.15688, 0.124855, 0.181762, 0.159755
0.162294, 0.126289, 0.1886, 0.172556, 0.151644, 0.126292, 0.178565, 0.151191, 0.153404, 0.124741, 0.181829, 0.159485
0.165011, 0.126123, 0.192274, 0.172421, 0.154116, 0.125707, 0.175232, 0.152086, 0.154767, 0.125437, 0.181255, 0.160279
0.166707, 0.124834, 0.191432, 0.172088, 0.153305, 0.12432, 0.177825, 0.150629, 0.154827, 0.124127, 0.188065, 0.159162
0.186126, 0.125789, 0.190249, 0.17299, 0.154249, 0.124883, 0.180268, 0.152118, 0.153782, 0.125598, 0.182562, 0.160363
0.164537, 0.125826, 0.19004, 0.173292, 0.152225, 0.125772, 0.178504, 0.15186, 0.15679, 0.124834, 0.181573, 0.159462
0.165845, 0.124048, 0.190823, 0.171671, 0.152357, 0.124554, 0.176687, 0.151114, 0.154032, 0.124271, 0.180295, 0.158678
0.162718, 0.124167, 0.191073, 0.172011, 0.153083, 0.124712, 0.177518, 0.151391, 0.156337, 0.12424, 0.183742, 0.159118
0.16331, 0.124932, 0.189602, 0.172176, 0.152313, 0.125352, 0.177117, 0.15118, 0.154045, 0.124824, 0.179329, 0.159856
0.162661, 0.125246, 0.190866, 0.171662, 0.152657, 0.125546, 0.177562, 0.151668, 0.156616, 0.124771, 0.180465, 0.160301
0.161798, 0.125475, 0.18903, 0.173332, 0.151581, 0.12577, 0.176576, 0.15177, 0.151478, 0.125715, 0.180045, 0.160564
0.163091, 0.125841, 0.190035, 0.172847, 0.153164, 0.125665, 0.178783, 0.151851, 0.155199, 0.12414, 0.180175, 0.159971
0.161712, 0.124577, 0.191217, 0.171308, 0.153689, 0.125858, 0.177245, 0.151675, 0.15582, 0.125715, 0.179737, 0.159888
0.163202, 0.124947, 0.19131, 0.173408, 0.153567, 0.124211, 0.177239, 0.150694, 0.154633, 0.124187, 0.18156, 0.158847
0.166985, 0.125028, 0.193335, 0.173009, 0.1546, 0.124877, 0.177122, 0.151635, 0.154935, 0.124826, 0.181501, 0.158883
0.163177, 0.124878, 0.191982, 0.172144, 0.151997, 0.125138, 0.179282, 0.151227, 0.154103, 0.126457, 0.181264, 0.16037
0.164622, 0.124264, 0.191629, 0.172754, 0.152626, 0.125894, 0.179856, 0.151542, 0.154703, 0.124983, 0.179768, 0.159511
0.1641, 0.124778, 0.18967, 0.172614, 0.157159, 0.125692, 0.179397, 0.151163, 0.155774, 0.124947, 0.180204, 0.159026
0.16247, 0.125037, 0.19197, 0.173343, 0.152847, 0.125257, 0.18442, 0.152148, 0.1545, 0.125441, 0.180645, 0.158968
0.163256, 0.124387, 0.188575, 0.171854, 0.153138, 0.125519, 0.177516, 0.151254, 0.15434, 0.12474, 0.179693, 0.159473
0.162698, 0.12502, 0.190148, 0.171371, 0.15282, 0.136509, 0.17743, 0.150658, 0.155555, 0.124071, 0.179957, 0.158861
0.161433, 0.125107, 0.190236, 0.171718, 0.151833, 0.125165, 0.177938, 0.151045, 0.155128, 0.124863, 0.180165, 0.159452
0.162145, 0.125662, 0.189692, 0.172781, 0.153861, 0.124812, 0.178667, 0.150691, 0.155529, 0.125853, 0.181866, 0.158698
0.164248, 0.125331, 0.190127, 0.172105, 0.150999, 0.125125, 0.176183, 0.151287, 0.15347, 0.124808, 0.181074, 0.159694
0.162032, 0.124598, 0.190895, 0.171334, 0.153842, 0.124998, 0.176392, 0.151352, 0.155068, 0.124945, 0.180537, 0.159662
0.16266, 0.124556, 0.189759, 0.172123, 0.153493, 0.124478, 0.177488, 0.151864, 0.153343, 0.125797, 0.183127, 0.160569
0.162759, 0.125058, 0.189799, 0.172373, 0.151423, 0.125889, 0.178995, 0.151686, 0.154561, 0.125724, 0.18304, 0.159694
0.164804, 0.123894, 0.191254, 0.172654, 0.15268, 0.125827, 0.176784, 0.150362, 0.154716, 0.125101, 0.180953, 0.158898
0.161893, 0.125107, 0.189983, 0.171194, 0.152894, 0.12546, 0.180262, 0.150795, 0.155876, 0.125492, 0.182056, 0.159359
0.163595, 0.124425, 0.190081, 0.171392, 0.151522, 0.124807, 0.177195, 0.150773, 0.154819, 0.124159, 0.179029, 0.159706
0.163184, 0.124554, 0.191107, 0.172846, 0.151618, 0.125522, 0.178283, 0.151982, 0.153816, 0.125643, 0.180454, 0.160329
0.162023, 0.125376, 0.189743, 0.172199, 0.151678, 0.124755, 0.179978, 0.151944, 0.155759, 0.125012, 0.180681, 0.160228
0.164059, 0.124255, 0.191245, 0.171994, 0.152296, 0.125118, 0.177193, 0.151342, 0.153325, 0.125305, 0.179738, 0.159665
0.161875, 0.124104, 0.191119, 0.171433, 0.152434, 0.124865, 0.177513, 0.150467, 0.154546, 0.124054, 0.180207, 0.158931
0.163798, 0.124326, 0.190183, 0.17213, 0.151159, 0.125104, 0.17759, 0.150792, 0.155041, 0.124308, 0.180488, 0.158989
0.164041, 0.125064, 0.192728, 0.172416, 0.153168, 0.125553, 0.175408, 0.151834, 0.154352, 0.124183, 0.180752, 0.159584
